iso,name,lon,lat,size_pop,pop_basis,source
MEX,Tuxtepec,-96.12535,18.0883,159452,minor,GeoNames
USA,Tempe Junction,-111.94348,33.41421,158368,minor,GeoNames
USA,Palmdale,-118.11646,34.57943,158351,minor,GeoNames
USA,Hayward,-122.0808,37.66882,158289,minor,GeoNames
USA,Salinas,-121.6555,36.67774,157380,minor,GeoNames
MEX,Cuautla,-98.93525,18.8106,157336,minor,GeoNames
MEX,San Pablo de las Salinas,-99.09477,19.66658,156191,minor,GeoNames
USA,Sunnyvale,-122.03635,37.36883,155805,minor,GeoNames
MEX,San Martin Texmelucan de Labastida,-98.43885,19.28431,155738,minor,GeoNames
USA,Frisco,-96.82361,33.15067,154407,minor,GeoNames
USA,East Chattanooga,-85.24912,35.06535,154024,minor,GeoNames
USA,Pasadena,-95.2091,29.69106,153784,minor,GeoNames
USA,Jackson,-90.18481,32.29876,153701,minor,GeoNames
USA,Pomona,-117.75228,34.05529,153266,minor,GeoNames
USA,Lakewood,-105.08137,39.70471,152597,minor,GeoNames
USA,Escondido,-117.08642,33.11921,151038,minor,GeoNames
MEX,Piedras Negras,-100.52353,28.70007,150178,minor,GeoNames
CAN,Gloucester,-75.63333,45.35,150012,minor,GeoNames
MEX,Playa del Carmen,-87.07987,20.6274,149923,minor,GeoNames
USA,Hollywood,-80.14949,26.0112,149728,minor,GeoNames
CAN,Saguenay,-71.06573,48.41675,148886,minor,GeoNames
CAN,Coquitlam,-122.78217,49.2846,148625,minor,GeoNames
USA,Valencia,-118.60953,34.44361,148456,minor,GeoNames
USA,Rockford,-89.094,42.27113,148278,minor,GeoNames
MEX,Ciudad Delicias,-105.47012,28.19013,148045,minor,GeoNames
USA,East Hampton,-76.33161,37.03737,147993,minor,GeoNames
USA,Joliet,-88.0834,41.52519,147861,minor,GeoNames
CAN,Barrie,-79.66634,44.40011,147829,minor,GeoNames
USA,Savannah,-81.09983,32.08354,147780,minor,GeoNames
USA,Paterson,-74.17181,40.91677,147754,minor,GeoNames
USA,Bridgeport,-73.18945,41.17923,147629,minor,GeoNames
USA,Naperville,-88.14729,41.78586,147100,minor,GeoNames
MEX,Colima,-103.7127,19.24473,146965,minor,GeoNames
USA,Gainesville,-82.32483,29.65163,145214,minor,GeoNames
CAN,Villeray-Saint-Michel-Parc-Extension,-73.60535,45.55869,144814,minor,GeoNames
USA,Mesquite,-96.59916,32.7668,144788,minor,GeoNames
CAN,Kelowna,-119.48568,49.88307,144576,minor,GeoNames
CAN,Trois-Rivieres,-72.5477,46.34515,144472,minor,GeoNames
USA,Syracuse,-76.14742,43.04812,144142,minor,GeoNames
CAN,Guelph,-80.25599,43.54594,143740,minor,GeoNames
USA,Torrance,-118.34063,33.83585,143592,minor,GeoNames
CAN,Levis,-71.17793,46.80326,143414,minor,GeoNames
MEX,Fresnillo,-102.86785,23.1749,143281,minor,GeoNames
USA,Surprise,-112.33322,33.63059,143148,minor,GeoNames
CAN,Mercier-Hochelaga-Maisonneuve,-73.54626,45.57194,142753,minor,GeoNames
USA,Pasadena,-118.14452,34.14778,142250,minor,GeoNames
CAN,Abbotsford,-122.25257,49.05798,141397,minor,GeoNames
USA,Orange,-117.85311,33.78779,140992,minor,GeoNames
USA,Fullerton,-117.92534,33.87029,140847,minor,GeoNames
USA,Killeen,-97.7278,31.11712,140806,minor,GeoNames
USA,Bellevue,-122.20068,47.61038,139820,minor,GeoNames
MEX,San Juan del Rio,-99.99637,20.38897,138878,minor,GeoNames
CAN,Whitby,-78.93287,43.88342,138501,minor,GeoNames
USA,Metairie,-90.15285,29.98409,138481,minor,GeoNames
USA,Hampton,-76.34522,37.02987,137148,minor,GeoNames
USA,Miramar,-80.23227,25.98731,137132,minor,GeoNames
CAN,St. Catharines,-79.24267,43.17126,136803,minor,GeoNames
MEX,San Jose del Cabo,-109.70367,23.05406,136285,minor,GeoNames
USA,West Valley City,-112.00105,40.69161,136208,minor,GeoNames
USA,Olathe,-94.81913,38.8814,134305,minor,GeoNames
USA,Warren,-83.01304,42.49044,134056,minor,GeoNames
USA,Thornton,-104.97192,39.86804,133451,minor,GeoNames
USA,Carrollton,-96.89028,32.95373,133168,minor,GeoNames
CAN,Milton,-79.88294,43.51681,132979,minor,GeoNames
CAN,Langley,-122.65883,49.10107,132603,minor,GeoNames
